search.year,ID,Authors,Ttitle,Journal,Vol,DOI,Year
2016,84,"Luzuriaga, Arantzazu L.; Sanchez, Ana M.; Maestre, Fernando T.; Escudero, Adrian",Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically,PLOS ONE,7,10.1371/journal.pone.0041270,2012
2016,85,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2016,86,"Soliveres, Santiago; Eldridge, David J.; Maestre, Fernando T.; Bowker, Matthew A.; Tighe, Matthew; Escudero, Adrian",Microhabitat amelioration and reduced competition among understorey plants as drivers of facilitation across environmental gradients: Towards a unifying framework,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,13,10.1016/j.ppees.2011.06.001,2011
2016,87,"Verdu, Miguel; Jordano, Pedro; Valiente-Banuet, Alfonso",The phylogenetic structure of plant facilitation networks changes with competition,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01731.x,2010
2016,88,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2016,89,"Gomez-Aparicio, Lorena",The role of plant interactions in the restoration of degraded ecosystems: a meta-analysis across life-forms and ecosystems,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2009.01573.x,2009
2016,90,"Maestre, Fernando T.; Callaway, Ragan M.; Valladares, Fernando; Lortie, Christopher J.",Refining the stress-gradient hypothesis for competition and facilitation in plant communities,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2008.01476.x,2009
2016,91,"Kefi, Sonia; van Baalen, Minus; Rietkerk, Max; Loreau, Michel",Evolution of local facilitation in arid ecosystems,AMERICAN NATURALIST,172,10.1086/588066,2008
2016,92,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2016,93,"Farji-Brener, AG; Ghermandi, L",Seedling recruitment in a semi-arid Patagonian steppe: Facilitative effects of refuse dumps of leaf-cutting ants,JOURNAL OF VEGETATION SCIENCE,15,10.1658/1100-9233(2004)015[0823:SRIASP]2.0.CO;2,2004
2016,94,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
2016,95,"Chu, Jianmin; Yang, Hongxiao; Lu, Qi; Zhang, Xiaoyan",Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration,AOB PLANTS,7,10.1093/aobpla/plv063,2015
2016,96,"Chu, Jianmin; Yang, Hongxiao; Lu, Qi; Zhang, Xiaoyan",Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration.,AoB PLANTS,7,10.1093/aobpla/plv063,2015
2016,97,"Martorell, Carlos; Montanana, Delfin M.; Ureta, Carolina; Mandujano, Maria C.","Assessing the importance of multiple threats to an endangered globose cactus in Mexico: Cattle grazing, looting and climate change",BIOLOGICAL CONSERVATION,181,10.1016/j.biocon.2014.10.035,2015
2016,98,"Luzuriaga, Arantzazu L.; Sanchez, Ana M.; Maestre, Fernando T.; Escudero, Adrian",Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically,PLOS ONE,7,10.1371/journal.pone.0041270,2012
2016,99,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2016,100,"Suzan-Azpiri, H.; Malda, G.; Caiceros, A.; Sanchez, A.; Guevara, A.; Garcia, O.",Spatial Analysis for Management and Conservation of Cactaceae and Agavaceae Species in Central Mexico,SPATIAL STATISTICS 2011: MAPPING GLOBAL CHANGE,7,10.1016/j.proenv.2011.07.057,2011
2016,101,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2016,102,"Kefi, Sonia; van Baalen, Minus; Rietkerk, Max; Loreau, Michel",Evolution of local facilitation in arid ecosystems,AMERICAN NATURALIST,172,10.1086/588066,2008
2016,103,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2016,104,"Valiente-Banuet, Alfonso; Rumebe, Adolfo Vital; Verdu, Miguel; Callaway, Ragan M.",Modern quaternary plant lineages promote diversity through facilitation of ancient tertiary lineages,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,103,10.1073/pnas.0604933103,2006
2016,105,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
2016,106,"Romero, Gustavo Q.; Goncalves-Souza, Thiago; Vieira, Camila; Koricheva, Julia",Ecosystem engineering effects on species diversity across ecosystems: a meta-analysis,BIOLOGICAL REVIEWS,90,10.1111/brv.12138,2015
2016,107,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,10.1186/s40693-014-0028-9,2014
2016,108,"Codding, Brian F.; Bird, Rebecca Bliege; Kauhanen, Peter G.; Bird, Douglas W.",Conservation or Co-evolution? Intermediate Levels of Aboriginal Burning and Hunting Have Positive Effects on Kangaroo Populations in Western Australia,HUMAN ECOLOGY,42,10.1007/s10745-014-9682-4,2014
2016,109,"Gavish, Yoni; Kedem, Hadar; Messika, Irit; Cohen, Carmit; Toh, Evelyn; Munro, Daniel; Dong, Qunfeng; Fuqua, Clay; Clay, Keith; Hawlena, Hadas",Association of Host and Microbial Species Diversity across Spatial Scales in Desert Rodent Communities,PLOS ONE,9,10.1371/journal.pone.0109677,2014
